x, f(x), f'(x), f''(x)
 -2.81600000e+00,  7.56769664e-03,  2.13117543e-02,  5.24460028e-02
 -2.80800000e+00,  7.73986887e-03,  2.17346842e-02,  5.32908937e-02
 -2.80000000e+00,  7.91545158e-03,  2.21644086e-02,  5.41446312e-02
 -2.79200000e+00,  8.09449941e-03,  2.26009983e-02,  5.50071950e-02
 -2.78400000e+00,  8.27706756e-03,  2.30445238e-02,  5.58785613e-02
 -2.77600000e+00,  8.46321179e-03,  2.34950553e-02,  5.67587031e-02
 -2.76800000e+00,  8.65298844e-03,  2.39526630e-02,  5.76475901e-02
 -2.76000000e+00,  8.84645440e-03,  2.44174167e-02,  5.85451881e-02
 -2.75200000e+00,  9.04366711e-03,  2.48893860e-02,  5.94514597e-02
 -2.74400000e+00,  9.24468457e-03,  2.53686401e-02,  6.03663636e-02
 -2.73600000e+00,  9.44956535e-03,  2.58552478e-02,  6.12898548e-02
 -2.72800000e+00,  9.65836854e-03,  2.63492778e-02,  6.22218847e-02
 -2.72000000e+00,  9.87115379e-03,  2.68507980e-02,  6.31624007e-02
 -2.71200000e+00,  1.00879813e-02,  2.73598762e-02,  6.41113464e-02
 -2.70400000e+00,  1.03089118e-02,  2.78765795e-02,  6.50686614e-02
 -2.69600000e+00,  1.05340066e-02,  2.84009748e-02,  6.60342812e-02
 -2.68800000e+00,  1.07633274e-02,  2.89331280e-02,  6.70081373e-02
 -2.68000000e+00,  1.09969366e-02,  2.94731050e-02,  6.79901570e-02
 -2.67200000e+00,  1.12348971e-02,  3.00209706e-02,  6.89802633e-02
 -2.66400000e+00,  1.14772722e-02,  3.05767892e-02,  6.99783751e-02
 -2.65600000e+00,  1.17241257e-02,  3.11406246e-02,  7.09844068e-02
 -2.64800000e+00,  1.19755222e-02,  3.17125397e-02,  7.19982685e-02
 -2.64000000e+00,  1.22315264e-02,  3.22925968e-02,  7.30198657e-02
 -2.63200000e+00,  1.24922037e-02,  3.28808575e-02,  7.40490995e-02
 -2.62400000e+00,  1.27576201e-02,  3.34773824e-02,  7.50858664e-02
 -2.61600000e+00,  1.30278418e-02,  3.40822314e-02,  7.61300583e-02
 -2.60800000e+00,  1.33029358e-02,  3.46954634e-02,  7.71815622e-02
 -2.60000000e+00,  1.35829692e-02,  3.53171364e-02,  7.82402606e-02
 -2.59200000e+00,  1.38680100e-02,  3.59473075e-02,  7.93060311e-02
 -2.58400000e+00,  1.41581262e-02,  3.65860329e-02,  8.03787464e-02
 -2.57600000e+00,  1.44533865e-02,  3.72333675e-02,  8.14582743e-02
 -2.56800000e+00,  1.47538600e-02,  3.78893653e-02,  8.25444777e-02
 -2.56000000e+00,  1.50596163e-02,  3.85540791e-02,  8.36372144e-02
 -2.55200000e+00,  1.53707253e-02,  3.92275607e-02,  8.47363373e-02
 -2.54400000e+00,  1.56872573e-02,  3.99098605e-02,  8.58416939e-02
 -2.53600000e+00,  1.60092831e-02,  4.06010278e-02,  8.69531268e-02
 -2.52800000e+00,  1.63368737e-02,  4.13011106e-02,  8.80704733e-02
 -2.52000000e+00,  1.66701008e-02,  4.20101554e-02,  8.91935655e-02
 -2.51200000e+00,  1.70090362e-02,  4.27282076e-02,  9.03222302e-02
 -2.50400000e+00,  1.73537522e-02,  4.34553111e-02,  9.14562887e-02
 -2.49600000e+00,  1.77043212e-02,  4.41915082e-02,  9.25955573e-02
 -2.48800000e+00,  1.80608163e-02,  4.49368400e-02,  9.37398465e-02
 -2.48000000e+00,  1.84233106e-02,  4.56913458e-02,  9.48889616e-02
 -2.47200000e+00,  1.87918778e-02,  4.64550634e-02,  9.60427023e-02
 -2.46400000e+00,  1.91665917e-02,  4.72280290e-02,  9.72008630e-02
 -2.45600000e+00,  1.95475263e-02,  4.80102772e-02,  9.83632324e-02
 -2.44800000e+00,  1.99347561e-02,  4.88018407e-02,  9.95295935e-02
 -2.44000000e+00,  2.03283557e-02,  4.96027507e-02,  1.00699724e-01
 -2.43200000e+00,  2.07284001e-02,  5.04130363e-02,  1.01873396e-01
 -2.42400000e+00,  2.11349643e-02,  5.12327250e-02,  1.03050375e-01
 -2.41600000e+00,  2.15481237e-02,  5.20618423e-02,  1.04230423e-01
 -2.40800000e+00,  2.19679538e-02,  5.29004118e-02,  1.05413293e-01
 -2.40000000e+00,  2.23945303e-02,  5.37484550e-02,  1.06598737e-01
 -2.39200000e+00,  2.28279291e-02,  5.46059916e-02,  1.07786496e-01
 -2.38400000e+00,  2.32682262e-02,  5.54730389e-02,  1.08976309e-01
 -2.37600000e+00,  2.37154977e-02,  5.63496125e-02,  1.10167909e-01
 -2.36800000e+00,  2.41698200e-02,  5.72357255e-02,  1.11361020e-01
 -2.36000000e+00,  2.46312693e-02,  5.81313888e-02,  1.12555365e-01
 -2.35200000e+00,  2.50999222e-02,  5.90366113e-02,  1.13750657e-01
 -2.34400000e+00,  2.55758551e-02,  5.99513993e-02,  1.14946607e-01
 -2.33600000e+00,  2.60591446e-02,  6.08757570e-02,  1.16142917e-01
 -2.32800000e+00,  2.65498672e-02,  6.18096860e-02,  1.17339286e-01
 -2.32000000e+00,  2.70480995e-02,  6.27531856e-02,  1.18535404e-01
 -2.31200000e+00,  2.75539182e-02,  6.37062525e-02,  1.19730959e-01
 -2.30400000e+00,  2.80673996e-02,  6.46688809e-02,  1.20925631e-01
 -2.29600000e+00,  2.85886203e-02,  6.56410626e-02,  1.22119095e-01
 -2.28800000e+00,  2.91176566e-02,  6.66227865e-02,  1.23311021e-01
 -2.28000000e+00,  2.96545848e-02,  6.76140389e-02,  1.24501070e-01
 -2.27200000e+00,  3.01994812e-02,  6.86148036e-02,  1.25688903e-01
 -2.26400000e+00,  3.07524217e-02,  6.96250614e-02,  1.26874171e-01
 -2.25600000e+00,  3.13134822e-02,  7.06447903e-02,  1.28056521e-01
 -2.24800000e+00,  3.18827383e-02,  7.16739657e-02,  1.29235594e-01
 -2.24000000e+00,  3.24602656e-02,  7.27125598e-02,  1.30411027e-01
 -2.23200000e+00,  3.30461393e-02,  7.37605421e-02,  1.31582449e-01
 -2.22400000e+00,  3.36404343e-02,  7.48178790e-02,  1.32749487e-01
 -2.21600000e+00,  3.42432254e-02,  7.58845339e-02,  1.33911758e-01
 -2.20800000e+00,  3.48545869e-02,  7.69604672e-02,  1.35068879e-01
 -2.20000000e+00,  3.54745928e-02,  7.80456360e-02,  1.36220458e-01
 -2.19200000e+00,  3.61033170e-02,  7.91399945e-02,  1.37366099e-01
 -2.18400000e+00,  3.67408328e-02,  8.02434936e-02,  1.38505401e-01
 -2.17600000e+00,  3.73872129e-02,  8.13560809e-02,  1.39637958e-01
 -2.16800000e+00,  3.80425301e-02,  8.24777009e-02,  1.40763359e-01
 -2.16000000e+00,  3.87068561e-02,  8.36082946e-02,  1.41881188e-01
 -2.15200000e+00,  3.93802628e-02,  8.47477999e-02,  1.42991024e-01
 -2.14400000e+00,  4.00628209e-02,  8.58961510e-02,  1.44092441e-01
